instruction,input,output
เชื้อเพลิง วัตถุดิบ  วัตถุดิบ,,"ใช้ชานอ้อยซึ่งเป็นผลิตภัณฑ์พลอยได้ (Byproduct) จากการผลิตน้ําตาลเป็นเชื้อเพลิงในหม้อไอน้ํา  ซึ่งเหลือจากโรงงานน้ําตาลประมาณ 571,230 ตัน/ปี แบ่งตามฤดู ดังนี้ (ตารางที่ 2-5)   (1) ฤดูเปิดหีบอ้อย จํานวน 360,000 ตัน/ปี  
(2) ฤดูละลายน้ําตาล จํานวน 108,000 ตัน/ปี  
(3) ฤดูซ่อมแซมของโรงงานน้ําตาล จํานวน 103,230 ตัน/ปี   ดังนั้น จะเหลือชานอ้อยหลังปิดหีบ =525,000 – 300,000 ตัน   = 225,000 ตัน  ซึ่งชานอ้อยจํานวนนี้จะถูกเก็บไว้ที่ลานกองเก็บชานอ้อยของบริษัท เกษตรไทยอุตสาหกรรมน้ําตาล  จํากัด เพื่อส่งให้โครงการใช้ในการผลิตกระแสไฟฟ้าในฤดูละลายน้ําตาลเท่ากับ 108,000 ตัน และฤดู ซ่อมแซมของโรงงานน้ําตาลเท่ากับ 103,230 ตัน  "
เชื้อเพลิง วัตถุดิบ  เชื้อเพลิงรายละเอียดของเชื้อเพลิงชีวมวล  ,,"ชีวมวล (Biomass) คือ สารอินทรีย์ที่เป็นแหล่งกักเก็บพลังงานจากธรรมชาติและสามารถนํามาใช้ ผลิตพลังงานได้ สารอินทรีย์เหล่านี้ได้มาจากพืชและสัตว์ต่างๆ เช่น เศษไม้ ขยะ วัสดุเหลือใช้ทางการเกษตร  การใช้พลังงานชีวมวลเพื่อทําให้ได้พลังงานอาจจะทําโดย นํามาเผาไหม้เพื่อนําพลังงานความร้อนที่ได้ ไปใช้ ในกระบวนการผลิตไฟฟ้าทดแทนพลังงานจากฟอสซิล (เช่น น้ํามัน) ซึ่งมีอยู่อย่างจํากัดและอาจหมดลงได้ ชีว 
มวลเหล่านี้มีแหล่งที่มาต่างๆ กัน อาทิ พืชผลทางการเกษตร (agricultural crops) เศษวัสดุเหลือทิ้ง การเกษตร (agricultural residues) ไม้และเศษไม้ (wood and wood residues) หรือของเหลือจากกาก อุตสาหกรรมและชุมชน ตัวอย่างเช่น  
 - แกลบ ได้จากการสีข้าวเปลือก  
 - ชานอ้อย ได้จากการผลิตน้ําตาลทราย  
- เศษไม้ ได้จากการแปรรูปไม้ยางพาราหรือไม้ยูคาลิปตัสเป็นส่วนใหญ่ และบางส่วนได้จากสวนป่าที่ ปลูกไว้  
 - กากปาล์ม ได้จากการสกัดน้ํามันปาล์มดิบออกจากผลปาล์มสด  
 - กากมันสําปะหลัง ได้จากการผลิตแป้งมันสําปะหลัง  
 - ซังข้าวโพด ได้จากการสีข้าวโพดเพื่อนําเมล็ดออก  
 - กาบและกะลามะพร้าว ได้จากการนํามะพร้าวมาปลอกเปลือกออกเพื่อนําเนื้อมะพร้าวไปผลิต กะทิ และน้ํามันมะพร้าว - ส่าเหล้า ได้จากการผลิตแอลกอฮอล์เป็นต้น  
 พลังงานชีวมวล (Bio-energy) หมายถึง พลังงานที่สะสมอยู่ในสิ่งมีชีวิตที่สามารถนํามาใช้ทํางานได้  เช่น ต้นไม้ กิ่งไม้ หรือเศษวัสดุจากการเกษตรหรืออุตสาหกรรม เช่น แกลบ ฟาง ชานอ้อย ขี้เลื่อย เศษไม้  เปลือกไม้ มูลสัตว์ รวมทั้งของเหลือหรือขยะจากครัวเรือนมนุษย์  
เทคโนโลยีที่ใช้ในการแปรรูปชีวมวลที่ได้รับความนิยมในปัจจุบันเพื่อปรับปรุงคุณภาพให้มีคุณค่า มากขึ้นกว่าเดิมนั้นสามารถจําแนกได้ 2 เทคโนโลยีหลักๆ คือ  
 (1) กระบวนการเปลี่ยนองค์ประกอบทางเคมีโดยวิธีชีวเคมี (Biochemical Conversion Process)  (2) กระบวนการเปลี่ยนองค์ประกอบทางเคมีโดยใช้พลังงานความร้อน (Thermo chemical  Conversion Process) ใช้พลังงานความร้อนเผาผลาญ สารประกอบคาร์บอนและไฮโดรคาร์บอนซึ่ง หลงเหลือในส่วนหนึ่งของพืช จะได้ความร้อนออกมาตามค่าความร้อนของชนิดชีวมวล ความร้อนที่ได้จาก การเผาสามารถนําไปใช้ในการผลิตไอน้ําที่มีอุณหภูมิและความดันสูง ไอน้ํานี้จะถูกนําไปขับกังหันไอน้ําเพื่อ ผลิตไฟฟ้าต่อไป  "
เชื้อเพลิง วัตถุดิบ  เชื้อเพลิงเชื้อเพลิงชีวมวลมีประโยชน์ที่ดีกว่าเชื้อเพลิงทั่วไปดังนี้  ,," ไม่ส่งผลกระทบต่อปริมาณก๊าซในชั้นบรรยากาศ  
 - จากเชื้อเพลิงชีวมวลไม่เกิดกระบวนการผลิตก๊าซมีเทนเหมือนเชื้อเพลิงชนิดอื่น ซึ่งก๊าซนี้ อันตรายกว่าก๊าซในชั้นบรรยากาศถึง 21 เท่า  
 - การใช้พลังงานชีวมวลเป็นการลดปริมาณการนําเข้าของเชื้อเพลิงของประเทศได้   - เถ้าจากเชื้อเพลิงชีวมวลเป็น Alkai ซึ่งเมื่อออกปล่อยสู่สิ่งแวดล้อมสามารถลดการกัด กร่อนและการเกิดกรดได้(Acidification)  
 - เถ้าที่เหลือจากการเผาไหม้เชื้อเพลิงชีวมวล สามารถนําไปขายเป็นส่วนผสมในการผลิต ปูนซีเมนต์ได้  
อย่างไรก็ตาม เชื้อเพลิงชีวมวลมีข้อจํากัดเช่นกันดังนี้  
 - ค่าใช้จ่ายในการขนส่งสูงเพราะฉะนั้นระยะทางจากแหล่งกําเนิดถึงพื้นที่ควรจะสั้น   - เนื่องจากเชื้อเพลิงชีวมวลมีปริมาณความชื้นสูง ดังนั้นการปฏิบัติงานต้องการ Boiler ที่ ใหญ่มาก  
 - เนื่องจากเชื้อเพลิงชีวมวลมีปริมาณความชื้นสูง ดังนั้นอาจส่งผลกระทบให้ Boiler ไม่ ทํางานในสภาพเสถียร "
เชื้อเพลิง วัตถุดิบ  เชื้อเพลิงรายละเอียดของการเตรียมเชื้อเพลิง  ,,"สําหรับการดําเนินงานด้านการเตรียมเชื้อเพลิงของโครงการ มีรายละเอียดดังนี้  
 (1) เชื้อเพลิงที่ใช้เป็นชานอ้อยที่เหลือจากกระบวนการผลิตน้ําตาลของ บริษัท เกษตรไทย อุตสาหกรรมน้ําตาล จํากัด ซึ่งอยู่ในพื้นที่ติดกันจะถูกลําเลียงโดยระบบสายพานเข้าสู่หม้อไอน้ําโดยตรง  ระยะทางประมาณ 370 เมตร  
 (2) คุณลักษณะของชานอ้อย จากการตรวจสอบคุณสมบัติและองค์ประกอบของชานอ้อยที่จะนํา ชานอ้อยทั้งหมดไปใช้เป็นเชื้อเพลิงสําหรับหม้อต้มไอน้ํา เพื่อผลิตกระแสไฟฟ้าเป็นหลักเท่านั้นของโครงการ  สามารถสรุปคุณสมบัติกายภาพและเคมีของชานอ้อยได้ดังตารางที่ 2-6 และภาคผนวก 2ฉ "
สารเคมี,,"โครงการมีความต้องการใช้สารเคมีในระบบผลิตน้ําใส (Clear Water), ระบบผลิตน้ําบริสุทธิ์  (Demineral Water), หม้อไอน้ํา และการปรับคุณภาพน้ําเสียของโครงการ โดยรายละเอียดแสดงในตารางที่  2-7 โดยมีแหล่งที่มาของสารเคมีจากตัวแทนจําหน่ายภายในประเทศ สําหรับคุณสมบัติของสารเคมี มี รายละเอียดในเอกสารความปลอดภัยของเคมีภัณฑ์ (MSDS) ดังแสดงในภาคผนวก 2ช 
 สารเคมีที่นํามาใช้ในโครงการสามารถจําแนกได้เป็น 2 ประเภท คือ ประเภทที่ 1 ใส่ลงสู่ถังใช้งาน โดยตรง ส่วนที่ 2 จะบรรจุอยู่ในภาชนะบรรจุและเก็บไว้ในอาคารเก็บสารเคมี (รูปที่ 2-7) มีขนาดพื้นที่ เท่ากับ 36 ตารางเมตร ก่อนนําไปใช้งาน โดยสารเคมีทั้งสองประเภท จะขนส่งเข้าสู่โครงการด้วยรถบรรทุก ก่อนเก็บกักไว้ยังบริเวณที่กําหนดไว้ข้างต้น  
 การจัดการภาชนะบรรจุสารเคมีที่ใช้แล้ว ทางโครงการจะส่งภาชนะบรรจุสารเคมีที่ใช้แล้วกลับไปยัง บริษัทผู้ขายทั้งหมด เพื่อลดภาระการจัดการกากของเสียภายในพื้นที่โครงการ 
 สําหรับอาคารเก็บสารเคมีจะทําการจัดสร้างรางระบายน้ําโดยรอบ เพื่อรวบรวมน้ําฝนที่ตกจาก หลังคาของอาคารและมีมาตรการด้านความปลอดภัยในการกักเก็บ ดังนี้  
1. จัดหาข้อมูลความปลอดภัยของเคมีภัณฑ์ทุกชนิดที่มีการใช้งานมากํากับในพื้นที่จัดเก็บสารเคมี และมีแผ่นป้ายแจ้งรายละเอียดสารเคมี ติดไว้ที่ภาชนะบรรจุสารเคมีทุกชนิด  
2. แยกชนิดของสารเคมีที่มีปฏิกิริยาต่อกัน เช่น กรด – ด่าง หรือสารเคมีที่ไม่สามารถที่จะนํามา จัดเก็บไว้ใกล้กันได้ เช่น สารเคมีไวไฟ  
3. มีระบบระบายอากาศที่ดีเพื่อให้มีการไหลเวียนถ่ายเทของอากาศ โดยออกแบบตามข้อกําหนด ของกฎกระทรวงที่เกี่ยวข้องตามพระราชบัญญัติควบคุมอาคาร พ.ศ.2522  
4. จัดเตรียมพื้นที่รองรับสารเคมีต่างๆ ในกรณีที่มีการรั่วไหลเกิดขึ้นเพื่อป้องกันการรั่วไหลไปตาม พื้นอาคารหรือรางระบายน้ํา ซึ่งจะก่อให้เกิดความเสียหายต่อสิ่งแวดล้อม และยากต่อการจัดการแก้ไขได้  5. จัดเตรียมคันกั้นล้อมสารเคมีในกรณีที่มีการรั่วไหลเกิดขึ้น เพื่อจํากัดพื้นที่ในการปนเปื้อนของ สารเคมีทําให้สามารถจัดการสารเคมีที่รั่วไหลได้สะดวกและลดผลกระทบที่อาจจะเกิดขึ้นในวงกว้าง  6. จัดให้มีถังดับเพลิงเคมี เพื่อใช้ระงับเหตุเพลิงไหม้โดยมีจํานวนตามประกาศกระทรวง อุตสาหกรรม เรื่อง การป้องกันและระงับอัคคีภัยในโรงงาน พ.ศ.2552 "
กระบวนการผลิต และผลิตภัณฑ์  การลําเลียงเชื้อเพลิง  ,,โครงการโรงไฟฟ้าชีวมวล จากชานอ้อย ขนาด 60 เมกกะวัตต์ ใช้เชื้อเพลิงชานอ้อยจาก กระบวนการหีบอ้อย/กระบวนการผลิตน้ําตาลของโครงการอุตสาหกรรมน้ําตาล ซึ่งอยู่ติดกัน สําหรับรูปแบบ ระบบสายพานลําเลียงชานอ้อยจากโครงการอุตสาหกรรมน้ําตาล มายังหม้อไอน้ํา จะใช้ระบบสายพานลําเลียง จํานวน 1 ชุด (Bagasse Elevator Conveyor) มีความยาวประมาณ 370 เมตร กว้าง 1.2 เมตร สามารถ ลําเลียงชานอ้อยได้ 100 ตันต่อชั่วโมง (รูปที่ 2-8)  
กระบวนการผลิต และผลิตภัณฑ์  กระบวนการผลิตไฟฟ้า  ,,"บริษัท เกษตรไทยไบโอเพาเวอร์ จํากัด ใช้ระบบการผลิตไฟฟ้าประเภท Steam Turbine  Generator โดยใช้ชานอ้อยเป็นเชื้อเพลิงในการผลิตไอน้ํา ไอน้ําที่ผลิตได้จะนําไปใช้ในกระบวนการผลิต กระแสไฟฟ้า และกระบวนการผลิตน้ําตาลทราย ดังนี้  
- การผลิตกระแสไฟฟ้า (จะใช้ไอน้ําส่วนใหญ่ประมาณ 100%) มีเครื่องกําเนิดไฟฟ้ารวม ขนาด 60 เมกะวัตต์ แต่ผลิตไฟฟ้าตามความเหมาะสมของการใช้งานและขายให้กับบริษัทในเครือ ทั้ง 3  โรงงานและการไฟฟ้าฝ่ายผลิตแห่งประเทศไทย  
 - ใช้กับอุปกรณ์ต่างๆ ของหม้อไอน้ําเอง (Self Consume) อันประกอบด้วย ระบบพัดลม  หม้อไอน้ํา ระบบน้ําเข้าหม้อไอน้ํา รวมทั้งการ Soot Blow โดยโหลดเสริมนี้จะใช้ไอน้ําประมาณ 5 เมกกะ วัตต์  
 แสดงรายละเอียดการออกแบบหม้อไอน้ําดังรูปที่ 2-9 "
กระบวนการผลิต และผลิตภัณฑ์  กระบวนการผลิตไอน้ําและกระแสไฟฟ้า  ,,"กิจกรรมการดําเนินงานของโครงการ แบ่งการดําเนินงานออกเป็น 3 ช่วง คือ ช่วงฤดูเปิดหีบอ้อย (Crushing Season) ช่วงละลายน้ําตาล (Remelting Season) และช่วงฤดูซ่อมแซม (Off Season) โดย สมดุลมวลจะแสดงค่าต่างๆ ซึ่งประกอบด้วย ค่ามวล ความดัน อุณหภูมิ และค่าความร้อน (Enthalpy) ดัง รายละเอียดไว้ในรูปที่ 2-10 ถึงรูปที่ 2-11โดยมีรายละเอียดในแต่ละกระบวนการผลิตดังนี้  
(1) ฤดูหีบอ้อย และฤดูละลายน้ําตาล  
Extraction Condensing Steam Turbine ขนาด 60 เมกกะวัตต์ จํานวน 1 ชุด เป็นกังหันไอน้ําที่ สามารถดึงไอน้ําบางส่วนออกมาใช้งานในช่วงกลางของกังหัน และไอน้ําส่วนที่เหลือจะถูกปล่อยให้ขยายตัว ผ่านกังหันจนมีความดันต่ํากว่าบรรยากาศ จึงปล่อยออกจากกังหันไอน้ํา แล้วเข้ากลั่นตัวเป็นหยดน้ําในเครื่อง กลั่นตัวชนิดความดันต่ํากว่าบรรยากาศ (Vacuum Condenser) ไอน้ําที่ถูกดึงออกมาใช้งานสําหรับโครงการ จะมีอยู่ 3 ระดับ  
ระดับที่ 1 แรงดันที่ 31 บาร์ เมื่อผ่าน Pressure Reducing Valve (PRV) ลดลงเหลือ 24 บาร์ ที่ อุณหภูมิ 390 องศาเซลเซียส ในปริมาณ 15 ตัน/ชั่วโมง จะถูกส่งไปที่ชุดอุ่นน้ําป้อนก่อนเข้าหม้อไอน้ําชุดที่ 2  (High Pressure Heater II)  
ระดับที่ 2 ระดับแรงดัน 15 บาร์ เมื่อผ่าน Pressure Reducing Valve (PRV) ลดลงเหลือแรงดันที่  9 บาร์ ที่อุณหภูมิ 312 องศาเซลเซียส ในปริมาณ 25 ตัน/ชั่วโมง จะถูกส่งไปที่ชุดอุ่นน้ําป้อนก่อนเข้าหม้อไอ น้ําชุดที่ 1 (High Pressure Heater I)  
ระดับที่ 3 แรงดันที่ 2 บาร์ ที่อุณหภูมิ 148 องศาเซลเซียส ในปริมาณ 180 ตัน/ชั่วโมง จะถูกแบ่ง ออกเป็น 2 ส่วน คือ ส่วนที่ 1 จะถูกส่งไปยังเครื่องแปลงความดันไอน้ํา (Steam Transformer) ที่แรงดัน 2  บาร์ อุณหภูมิ 148 องศาเซลเซียส ในปริมาณ 160 ตัน/ชั่วโมง และส่วนที่ 2 จะถูกส่งไปยังอุปกรณ์ที่ใช้ดึง เอาก๊าซที่ละลายในน้ําป้อนเข้าหม้อไอน้ําออก (Deaerator) ที่แรงดัน 2 บาร์ อุณหภูมิ 148 องศาเซลเซียส  ในปริมาณ 20 ตัน/ชั่วโมง  
และส่วนของไอน้ําที่เหลือหลังผ่าน Stage จะถูกส่งเข้าระบบ Condenser ที่แรงดัน -0.91 บาร์  อุณหภูมิ 56 องศาเซลเซียส ปริมาณ 20 ตัน/ชั่วโมง โดยใช้ระบบหอหล่อเย็น (Cooling Tower) เพื่อระบาย ความร้อนให้กับระบบ Condenser  
ซึ่งไอน้ําทั้งหมดที่ถูกดึงออกจากกังหันไอน้ํา (Extraction Condensing Steam Turbine) ทั้ง 3  ระดับ รวมกับไอน้ําที่เหลือหลังผ่าน Stage ทั้งหมด และมีปริมาณรวม 240 ตัน/ชั่วโมง จะถูกแลกเปลี่ยน ความร้อนจนกลายเป็นน้ําหมุนเวียน ร่วมกับน้ําดิบที่ผ่านกระบวนการปรับปรุงคุณภาพน้ํา (Reverse  Osmosis) ปริมาณ 3 ตัน/ชั่วโมง เพื่อทดแทนปริมาณน้ําทิ้งจากหม้อไอน้ํา (Blowdown) ปริมาณ 3 ตันต่อ ชั่วโมง "
กระบวนการผลิต และผลิตภัณฑ์  กระบวนการผลิตไอน้ําและกระแสไฟฟ้า  ทางโครงการใช้ระบบผลิตไอน้ําแบบ Extracted Condensing Steam Turbine ทั้งหมด  3 ระดับ ดังนี้  ,,"ระดับที่ 1 แรงดันที่ 30 บาร์ เมื่อผ่าน Pressure Reducing Valve (PRV) ลดแรงดันลง เหลือ 24 บาร์ ที่อุณหภูมิ 391 องศาเซลเซียส ในปริมาณ 15 ตัน/ชั่วโมง จะถูกส่งไปที่ชุดอุ่นน้ําป้อนก่อนเข้า หม้อไอน้ําชุดที่ 2 (High Pressure Heater II)  
ระดับที่ 2 ระดับแรงดัน 15.3 บาร์ เมื่อผ่าน Pressure Reducing Valve (PRV) ลดลง เหลือแรงดันที่ 9 บาร์ ที่อุณหภูมิ 316 องศาเซลเซียส ในปริมาณ 10 ตัน/ชั่วโมง จะถูกส่งไปที่ชุดอุ่นน้ําป้อน ก่อนเข้าหม้อไอน้ําชุดที่ 1 (High Pressure Heater I)  
ระดับที่ 3 แรงดันที่ 2 บาร์ ที่อุณหภูมิ 150 องศาเซลเซียส ในปริมาณ 20 ตัน/ชั่วโมง จะ ถูกส่งไปยังอุปกรณ์ที่ใช้ดึงเอาก๊าซที่ละลายในน้ําป้อนเข้าหม้อไอน้ําออก (Deaerator)  
และส่วนของไอน้ําที่เหลือ หลังผ่าน Stage ทั้งหมดแล้ว จะถูกส่งเข้าระบบ Condenser ที่ แรงดัน -0.868 บาร์ อุณหภูมิ 51 องศาเซลเซียส ปริมาณ 184.4 ตัน/ชั่วโมง โดยใช้ระบบหอหล่อเย็น  (Cooling Tower) เพื่อระบายความร้อนให้กับระบบ Condenser  
ซึ่งไอน้ําทั้งหมดที่ถูกดึงออกจากกังหันไอน้ํา (Extraction Condensing Steam Turbine)  ทั้ง 3 ระดับ รวมกับไอน้ํา ที่เหลือหลังผ่าน Stage ทั้งหมดแล้ว มีปริมาณรวม 229.4 ตัน/ชั่วโมง จะถูก แลกเปลี่ยนความร้อน จนกลายเป็นน้ําหมุนเวียน ร่วมกับน้ําดิบที่ผ่านกระบวนการปรับปรุงคุณภาพน้ํา (Reverse  Osmosis) ปริมาณ 2.87 ตัน/ชั่วโมง เพื่อทดแทนปริมาณไอน้ําที่ผลิตได้จากหม้อไอน้ํา (Boiler) ปริมาณ 229.4  ตัน/ชั่วโมง สามารถผลิตกระแสไฟฟ้าได้ 60 เมกกะวัตต์ "
กระบวนการผลิต และผลิตภัณฑ์  รายละเอียดของโรงไฟฟ้าชีวมวล  กระบวนการหลัก  ,,"กระบวนการผลิตเริ่มจากการนําชานอ้อย โดยสายพานลําเลียงชานอ้อย เข้าสู่ห้องเผาไหม้ของ หม้อต้มไอน้ํา โดยในห้องเผาไหม้ชานอ้อยจะถูกเผาที่อุณหภูมิ 340-370 องศาเซลเซียส จากนั้นจึงนําก๊าซที่ ร้อนไปต้มน้ําในหม้อต้มไอน้ํา เพื่อให้ได้ไอน้ําที่อุณหภูมิ 520-540 องศาเซลเซียส จากนั้นก๊าซร้อนจะถูกส่ง เข้าไปสู่ระบบดักฝุ่นละออง โดยใช้ระบบกําจัดฝุ่นแบบ ESP ดึงเถ้าลงสู่รางเถ้าและบ่อเถ้า โดยใช้แรงดันของ น้ําก๊าซที่แยกฝุ่นละอองแล้วจะปล่อยออกสู่บรรยากาศต่อไป ไอน้ําร้อนที่ได้จะถูกส่งไปยังกังหันไอน้ําและ เครื่องกําเนิดไฟฟ้าเพื่อผลิตกระแสไฟฟ้า ทั้งนี้ไอน้ําที่ผ่านกระบวนการผลิตกระแสไฟฟ้าแล้วจะถูกทําการ ควบแน่นกลั่นตัวเป็นน้ําที่ Condenser เพื่อนําน้ํากลับมาใช้ในกระบวนการผลิตต่อไปส่วนน้ําที่ใช้หล่อเย็น  Condenser จะนํามาจากระบบน้ํา Cooling Tower  
2) หม้อไอน้ํา (Boiler)  
หม้อไอน้ําของโครงการ เป็นแบบ Travelling Grate Stoker ซึ่งควบคุมด้วยลมซึ่งชานอ้อยออก จาก Bagasses-feeder ชานอ้อยจะตกลงสู่ห้องเผาไหม้โดยมีพัดลมเป่า (Secondary Force Draft Fan) ให้ ชานอ้อยกระจายตัวก่อนตกลงสู่ตะกรับ เมื่อชานอ้อยตกลงสู่ตะกรับจะมีพัดลมเป่าใต้ตะกรับ (Primary  Force Draft Fan) ทําให้ชานอ้อยถูกเผาไหม้อย่างสมบูรณ์ และมีการทําความสะอาดเตาวันละ 2 ครั้ง โดย การทําความสะอาดเตา จะเริ่มจากการเป่าเขม่าเพื่อนําขี้เถ้าในส่วนต่างๆภายในห้องเผาไหม้ออก โดยการเปิด วาล์วไอน้ําด้านบนหม้อไอน้ํา ซึ่งจะตั้งไว้ไม่เกิน 10 กโลกรัมต่อลูกบาศก์เมตร กดสวิทซ์ การเป่าเขม่าจะเริ่ม ทํางาน ซึ่งเป็นการขับเคลื่อนด้วยมอเตอร์เปิดไอเป่าเขม่าในส่วนต่างๆที่ตกค้างอยู่ออกให้หมดและจะเปิด วาล์วไอน้ําที่แอร์ฮีตเตอร์เพื่อไล่เขม่า (ขี้เถ้า) ให้ตกลงสู่รางขี้เถ้า เมื่อเสร็จแล้วจะทําการปิดวาล์วทั้ง 2 จุด  การเป่าจะเป่าวันละ 2 ครั้ง คือกลางวัน 1 ครั้งและกลางคืน 1 ครั้ง (ทุกๆ 12 ชั่วโมง) เมื่อเป่าเขม่าเสร็จ โดย จะลําเลียงขี้เถ้าตกสู่ Conveyor หน้าเตาตลอดเวลา จะทําการล้างเตา หยุดเดินเครื่องป้อนชานอ้อย ทําการ โยกกระบอกลมเพื่อนําขี้เถ้าในห้องเผาไหม้ลงสู่รางสายพานใต้ห้องเผาไหม้ และกดสวิตซ์เพื่อเดินสายพาน ลําเลียงขี้เถ้าไปยังยุ้งโดยมีรถบรรทุกมารับต่อไป การล้างจะล้างสลับช่องกันไป ทั้งนี้จะทําการเอาเถ้าออกเพื่อ ไม่ให้ปิดบังทางลม โดยการยกดั้มตะกรับเพื่อให้เถ้าหนักตกลงสู่สายพานลําเลียงเถ้าโดยมีน้ําหล่อเย็นเพื่อลด ความร้อนและเป่าไม่ให้ฟุ้งกระจาย เถ้าส่วนนี้จะถูกส่งไปยังบ่อตกตะกอนน้ําขี้เถ้าที่มีอยู่ 2 บ่อ เพื่อตกตะกอน  
และเมื่อมีปริมาณน้ําเต็มบ่อแล้วจะสูบน้ําด้านบนไปใช้พรมขี้เถ้าต่อ ส่วนขี้เถ้าด้านล้างที่ตกตะกอนจะมีรถมา ตักขี้เถ้าออกไป ในส่วนของเถ้าอ่อนหรือฝุ่นขี้เถ้าจากการเผาไหม้จะถูกพัดลมดูด (Induced Draft Fan) ดูด ออกไปจากห้องเผาไหม้ก่อนจะลงปล่อง ซึ่งจะมีระบบดักฝุ่นแบบไฟฟ้าสถิต (ESP) หลังจากนั้น ฝุ่นส่วนนี้จะมี การทํายุ้งไว้เก็บและมีรถบรรทุกมารองรับ สําหรับขี้เถ้าที่เกิดขึ้นทั้งหมดจะถูกนําส่งให้เกษตรกรเพื่อไปใช้ ประโยชน์ต่อไป กรณีฉุกเฉินของโครงการหากเกิดขึ้นขณะเริ่มเดินระบบหม้อไอน้ํา (อุ่นหม้อไอน้ํา) หรือขณะ เดินระบบหม้อไอน้ําเพื่อผลิตกระแสไฟฟ้า ทางโครงการจะปิดเครื่องกําเนิดไฟฟ้าและนํากระแสไฟฟ้าจากการ ไฟฟ้าส่วนภูมิภาคมาใช้แทนและดับหม้อไอน้ําต่อไป  
ในส่วนของอากาศที่ช่วยในการเผาไหม้นั้น (Primary Air) จะได้มาจากพัดลม (Forced Draft  Fan) ซึ่งจะส่งเข้าทางด้านใต้ของตะกรับ ซึ่งนอกจากจะใช้ในการเผาไหม้แล้วยังเป็นการหล่อเย็นตะกรับเพื่อ"
